"","source","target","value"
"1","Алтайский край","Алтайский край",5736
"2","Алтайский край","г.Москва",810
"3","Алтайский край","Новосибирская область",741
"4","Амурская область","Амурская область",2289
"5","Архангельская область","Архангельская область",2885
"6","Астраханская область","Астраханская область",3472
"7","Астраханская область","г.Москва",588
"8","Белгородская область","Белгородская область",6308
"9","Белгородская область","г.Москва",1118
"10","Брянская область","Брянская область",2591
"11","Брянская область","г.Москва",914
"12","Владимирская область","Владимирская область",3077
"13","Владимирская область","г.Москва",902
"14","Волгоградская область","Волгоградская область",4977
"15","Волгоградская область","г.Москва",1308
"16","Вологодская область","Вологодская область",2461
"17","Воронежская область","Воронежская область",7099
"18","Воронежская область","г.Москва",1609
"19","Воронежская область","Липецкая область",951
"20","г.Москва","Алтайский край",550
"21","г.Москва","Астраханская область",760
"22","г.Москва","Белгородская область",722
"23","г.Москва","Брянская область",757
"24","г.Москва","Владимирская область",654
"25","г.Москва","Волгоградская область",1393
"26","г.Москва","Вологодская область",985
"27","г.Москва","Воронежская область",1320
"28","г.Москва","г.Москва",93189
"29","г.Москва","г.Санкт-Петербург",4946
"30","г.Москва","Иркутская область",614
"31","г.Москва","Калининградская область",1092
"32","г.Москва","Калужская область",1509
"33","г.Москва","Кемеровская область",897
"34","г.Москва","Кировская область",610
"35","г.Москва","Краснодарский край",2925
"36","г.Москва","Красноярский край",1103
"37","г.Москва","Липецкая область",580
"38","г.Москва","Московская область",14971
"39","г.Москва","Мурманская область",513
"40","г.Москва","Нижегородская область",1811
"41","г.Москва","Новосибирская область",741
"42","г.Москва","Оренбургская область",1692
"43","г.Москва","Пензенская область",574
"44","г.Москва","Пермский край",1668
"45","г.Москва","Республика Башкортостан",1054
"46","г.Москва","Республика Дагестан",506
"47","г.Москва","Республика Карелия",569
"48","г.Москва","Республика Саха (Якутия)",867
"49","г.Москва","Республика Татарстан",1053
"50","г.Москва","Ростовская область",2177
"51","г.Москва","Рязанская область",775
"52","г.Москва","Самарская область",1463
"53","г.Москва","Саратовская область",1927
"54","г.Москва","Сахалинская область",569
"55","г.Москва","Свердловская область",1146
"56","г.Москва","Смоленская область",1046
"57","г.Москва","Ставропольский край",874
"58","г.Москва","Тверская область",732
"59","г.Москва","Тульская область",1716
"60","г.Москва","Ульяновская область",523
"61","г.Москва","Ханты-Мансийский автономный округ - Югра",1008
"62","г.Москва","Челябинская область",1368
"63","г.Москва","Чувашская Республика",954
"64","г.Москва","Ямало-Ненецкий автономный округ",684
"65","г.Москва","Ярославская область",1590
"66","г.Санкт-Петербург","г.Москва",4781
"67","г.Санкт-Петербург","г.Санкт-Петербург",40058
"68","г.Санкт-Петербург","Красноярский край",883
"69","г.Санкт-Петербург","Ленинградская область",3341
"70","г.Санкт-Петербург","Московская область",510
"71","г.Санкт-Петербург","Мурманская область",543
"72","г.Санкт-Петербург","Республика Коми",1184
"73","Забайкальский край","Забайкальский край",1889
"74","Ивановская область","г.Москва",836
"75","Ивановская область","Ивановская область",2524
"76","Иркутская область","г.Москва",1023
"77","Иркутская область","Забайкальский край",955
"78","Иркутская область","Иркутская область",9458
"79","Иркутская область","Красноярский край",741
"80","Иркутская область","Республика Саха (Якутия)",586
"81","Кабардино-Балкарская Республика","Кабардино-Балкарская Республика",1526
"82","Калининградская область","Калининградская область",2366
"83","Калужская область","Калужская область",1091
"84","Кемеровская область","г.Москва",758
"85","Кемеровская область","Кемеровская область",6240
"86","Кемеровская область","Новосибирская область",759
"87","Кировская область","г.Москва",829
"88","Кировская область","Кировская область",4945
"89","Кировская область","Республика Коми",603
"90","Костромская область","Костромская область",1031
"91","Краснодарский край","г.Москва",1570
"92","Краснодарский край","Краснодарский край",11003
"93","Краснодарский край","Ростовская область",530
"94","Красноярский край","г.Москва",568
"95","Красноярский край","Красноярский край",8341
"96","Курганская область","Курганская область",1928
"97","Курская область","г.Москва",1331
"98","Курская область","Курская область",4588
"99","Липецкая область","Липецкая область",1809
"100","Магаданская область","Магаданская область",739
"101","Московская область","Волгоградская область",505
"102","Московская область","г.Москва",6954
"103","Московская область","Краснодарский край",529
"104","Московская область","Московская область",4347
"105","Московская область","Республика Татарстан",614
"106","Московская область","Чувашская Республика",563
"107","Мурманская область","Мурманская область",1272
"108","Нижегородская область","г.Москва",2042
"109","Нижегородская область","Нижегородская область",12383
"110","Новгородская область","Новгородская область",1085
"111","Новосибирская область","г.Москва",1927
"112","Новосибирская область","г.Санкт-Петербург",651
"113","Новосибирская область","Новосибирская область",11370
"114","Омская область","г.Москва",1483
"115","Омская область","Новосибирская область",840
"116","Омская область","Омская область",9547
"117","Омская область","Тюменская область",623
"118","Омская область","Ханты-Мансийский автономный округ - Югра",1311
"119","Оренбургская область","г.Москва",808
"120","Оренбургская область","Оренбургская область",6003
"121","Оренбургская область","Республика Башкортостан",590
"122","Орловская область","г.Москва",800
"123","Орловская область","Орловская область",2094
"124","Пензенская область","г.Москва",965
"125","Пензенская область","Пензенская область",3806
"126","Пермский край","г.Москва",623
"127","Пермский край","Пермский край",11634
